Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-17,13:00:00,12106.75,12108.62,12085.78,12090.78,8866403,0
2017-03-17,14:00:00,12090.9,12107.92,12080.83,12105.99,22295764,0
2017-03-17,15:00:00,12105.97,12106.77,12085.4,12087.3,6638608,0
2017-03-17,16:00:00,12087.3,12090.17,12067.88,12080.12,10279811,0
2017-03-17,17:00:00,12079.54,12090.62,12074.15,12086.19,10887122,0
2017-03-17,18:00:00,12086.19,12095.24,12074.37,12095.24,74327394,0
2017-03-20,10:00:00,12050.81,12074.52,12049.25,12057.29,10656756,0
2017-03-20,11:00:00,12057.29,12070.18,12056.9,12059.71,7529673,0
2017-03-20,12:00:00,12059.54,12060.11,12033.24,12054.08,7233324,0
2017-03-20,13:00:00,12054.08,12065.83,12053.01,12062.62,4641354,0
2017-03-20,14:00:00,12062.62,12066.9,12049.44,12052.85,6755158,0
2017-03-20,15:00:00,12052.68,12074.21,12052.33,12063.79,7091779,0
2017-03-20,16:00:00,12063.79,12082.31,12063.7,12077.52,8231031,0
2017-03-20,17:00:00,12077.41,12078.56,12062.9,12067.48,10532093,0
2017-03-20,18:00:00,12067.44,12068.61,12052.44,12052.9,47999143,0
2017-03-21,10:00:00,12063.92,12078.69,12039.2,12044.95,20503344,0
2017-03-21,11:00:00,12043.81,12066.04,12042.54,12064.43,12755836,0
2017-03-21,12:00:00,12064.67,12065.98,12052.23,12056.13,7353274,0
2017-03-21,13:00:00,12055.46,12077.45,12053.92,12063.95,8515797,0
2017-03-21,14:00:00,12064.85,12095.31,12063.25,12095.31,8848653,0
2017-03-21,15:00:00,12096.81,12110.12,12056.42,12056.42,12809988,0
2017-03-21,16:00:00,12060.25,12067.72,11982.25,11994.65,12180797,0
2017-03-21,17:00:00,11985.02,11986.93,11938.53,11958.7,19078162,0
2017-03-21,18:00:00,11953.74,11962.13,11948.4,11962.13,32896210,0
2017-03-22,10:00:00,11877.24,11889.58,11850.27,11863.76,18909382,0
2017-03-22,11:00:00,11864.28,11889.5,11858.07,11885.22,10678079,0
2017-03-22,12:00:00,11885.91,11900.96,11879.29,11900.96,6804552,0
2017-03-22,13:00:00,11901.48,11910.02,11892.72,11899.55,6275205,0
2017-03-22,14:00:00,11899.51,11912.78,11894.76,11906.94,4718311,0
2017-03-22,15:00:00,11907.34,11923.21,11888.72,11899.05,8190731,0
2017-03-22,16:00:00,11898.32,11918.83,11882.68,11918.83,9461527,0
